Sr,CaseType,CaseNo,CaseYear,CaseLabel,BillingStatus,AllotmentDate,NumAppearances
343,WP,11794,2018,WP/11794/2018,ONGOING,28-08-2024,2
344,WP,11704,2024,WP/11704/2024,DISPOSED,29-08-2024,1
345,WP,12121,2024,WP/12121/2024,ONGOING,30-08-2024,5
346,CP,337,2024,CP/337/2024,ONGOING,30-08-2024,1
347,WP,12001,2024,WP/12001/2024,DISPOSED,02-09-2024,1
348,WP,7560,2022,WP/7560/2022,DISPOSED,02-09-2024,2
349,WP,3740,2024,WP/3740/2024,ONGOING,04-09-2024,1
350,WP,15588,2022,WP/15588/2022,ONGOING,04-09-2024,3
351,WP,12203,2024,WP/12203/2024,DISPOSED,05-09-2024,1
352,WP,2463,2017,WP/2463/2017,DISPOSED,05-09-2024,1
353,WP,12245,2024,WP/12245/2024,DISPOSED,06-09-2024,1
354,WP,5564,2023,WP/5564/2023,ONGOING,06-09-2024,5
355,WP,11287,2024,WP/11287/2024,ONGOING,06-09-2024,1
356,WP(ST),25893,2024,WP(ST)/25893/2024,ONGOING,06-09-2024,1
357,WP,12502,2024,WP/12502/2024,ONGOING,09-09-2024,8
358,IA(ST),23332,2024,IA(ST)/23332/2024,ONGOING,09-09-2024,1
359,WP,1744,2017,WP/1744/2017,ONGOING,09-09-2024,3
360,WP,12686,2024,WP/12686/2024,DISPOSED,12-09-2024,4
361,WP,3704,2011,WP/3704/2011,ONGOING,12-09-2024,3
362,WP,6303,2011,WP/6303/2011,ONGOING,12-09-2024,4
363,WP,5224,2012,WP/5224/2012,ONGOING,12-09-2024,3
364,WP,2559,2013,WP/2559/2013,DISPOSED,12-09-2024,3
365,WP,4020,2023,WP/4020/2023,ONGOING,12-09-2024,1
366,WP,12687,2024,WP/12687/2024,ONGOING,13-09-2024,3
367,WP,893,2015,WP/893/2015,ONGOING,18-09-2024,3
368,WP,12893,2024,WP/12893/2024,ONGOING,18-09-2024,2
369,WP,4856,2024,WP/4856/2024,ONGOING,18-09-2024,1
370,IA,1319,2024,IA/1319/2024,ONGOING,18-09-2024,2
371,WP,10403,2024,WP/10403/2024,ONGOING,19-09-2024,1
372,IA,11515,2024,IA/11515/2024,ONGOING,19-09-2024,1
373,WP,12542,2024,WP/12542/2024,ONGOING,19-09-2024,1
374,WP,1710,2024,WP/1710/2024,ONGOING,20-09-2024,1
375,WP,12480,2024,WP/12480/2024,DISPOSED,20-09-2024,1
376,WP,13015,2024,WP/13015/2024,ONGOING,20-09-2024,5
377,WP,12780,2023,WP/12780/2023,ONGOING,23-09-2024,2
378,WP,12992,2023,WP/12992/2023,ONGOING,23-09-2024,1
379,WP,5052,2024,WP/5052/2024,ONGOING,23-09-2024,1
380,WP,11850,2024,WP/11850/2024,ONGOING,23-09-2024,2
381,WP,12604,2024,WP/12604/2024,DISPOSED,25-09-2024,2
382,WP,13178,2024,WP/13178/2024,ONGOING,26-09-2024,7
383,WP,13290,2024,WP/13290/2024,ONGOING,26-09-2024,1
